region,nok_per_kwh,eur_per_kwh,exr,time_start,time_end
NO2,0.03554,0.003,11.845,2023-06-04 15:00:00,2023-06-04 16:00:00
NO2,0.62035,0.0555,11.1775,2023-07-24 13:00:00,2023-07-24 14:00:00
NO2,0.9847,0.08612,11.434,2023-08-16 09:00:00,2023-08-16 10:00:00
NO2,1.32741,0.13289,9.9888,2022-01-01 00:00:00,2022-01-01 01:00:00
NO2,1.29155,0.1293,9.9888,2022-01-01 01:00:00,2022-01-01 02:00:00
NO2,1.31932,0.13208,9.9888,2022-01-01 02:00:00,2022-01-01 03:00:00
NO2,1.11315,0.11144,9.9888,2022-01-01 03:00:00,2022-01-01 04:00:00
NO2,1.12224,0.11235,9.9888,2022-01-01 04:00:00,2022-01-01 05:00:00
NO2,1.13772,0.1139,9.9888,2022-01-01 05:00:00,2022-01-01 06:00:00
NO2,1.22113,0.12225,9.9888,2022-01-01 06:00:00,2022-01-01 07:00:00
NO2,1.18447,0.11858,9.9888,2022-01-01 07:00:00,2022-01-01 08:00:00
NO2,1.18337,0.11847,9.9888,2022-01-01 08:00:00,2022-01-01 09:00:00
NO2,1.17728,0.11786,9.9888,2022-01-01 09:00:00,2022-01-01 10:00:00
NO2,1.19896,0.12003,9.9888,2022-01-01 10:00:00,2022-01-01 11:00:00
NO2,1.16939,0.11707,9.9888,2022-01-01 11:00:00,2022-01-01 12:00:00
NO2,1.17039,0.11717,9.9888,2022-01-01 12:00:00,2022-01-01 13:00:00
NO2,1.19946,0.12008,9.9888,2022-01-01 13:00:00,2022-01-01 14:00:00
NO2,1.24401,0.12454,9.9888,2022-01-01 14:00:00,2022-01-01 15:00:00
NO2,1.2475,0.12489,9.9888,2022-01-01 15:00:00,2022-01-01 16:00:00
NO2,1.35438,0.13559,9.9888,2022-01-01 16:00:00,2022-01-01 17:00:00
NO2,1.49802,0.14997,9.9888,2022-01-01 17:00:00,2022-01-01 18:00:00
NO2,1.50541,0.15071,9.9888,2022-01-01 18:00:00,2022-01-01 19:00:00
