region,nok_per_kwh,eur_per_kwh,exr,time_start,time_end
NO3,0.3523,0.03527,9.9888,2022-01-02 21:00:00,2022-01-02 22:00:00
NO3,0.46548,0.0466,9.9888,2022-01-01 00:00:00,2022-01-01 01:00:00
NO3,0.41284,0.04133,9.9888,2022-01-01 01:00:00,2022-01-01 02:00:00
NO3,0.42133,0.04218,9.9888,2022-01-01 02:00:00,2022-01-01 03:00:00
NO3,0.4432,0.04437,9.9888,2022-01-01 03:00:00,2022-01-01 04:00:00
NO3,0.37628,0.03767,9.9888,2022-01-01 04:00:00,2022-01-01 05:00:00
NO3,0.39656,0.0397,9.9888,2022-01-01 05:00:00,2022-01-01 06:00:00
NO3,0.40545,0.04059,9.9888,2022-01-01 06:00:00,2022-01-01 07:00:00
NO3,0.43212,0.04326,9.9888,2022-01-01 07:00:00,2022-01-01 08:00:00
NO3,0.49385,0.04944,9.9888,2022-01-01 08:00:00,2022-01-01 09:00:00
NO3,0.49405,0.04946,9.9888,2022-01-01 09:00:00,2022-01-01 10:00:00
NO3,0.49215,0.04927,9.9888,2022-01-01 10:00:00,2022-01-01 11:00:00
NO3,0.48835,0.04889,9.9888,2022-01-01 11:00:00,2022-01-01 12:00:00
NO3,0.48396,0.04845,9.9888,2022-01-01 12:00:00,2022-01-01 13:00:00
NO3,0.4416,0.04421,9.9888,2022-01-01 13:00:00,2022-01-01 14:00:00
NO3,0.42333,0.04238,9.9888,2022-01-01 14:00:00,2022-01-01 15:00:00
NO3,0.42043,0.04209,9.9888,2022-01-01 15:00:00,2022-01-01 16:00:00
NO3,0.42253,0.0423,9.9888,2022-01-01 16:00:00,2022-01-01 17:00:00
NO3,0.40545,0.04059,9.9888,2022-01-01 17:00:00,2022-01-01 18:00:00
NO3,0.40065,0.04011,9.9888,2022-01-01 18:00:00,2022-01-01 19:00:00
NO3,0.38477,0.03852,9.9888,2022-01-01 19:00:00,2022-01-01 20:00:00
NO3,0.34671,0.03471,9.9888,2022-01-01 20:00:00,2022-01-01 21:00:00
NO3,0.32444,0.03248,9.9888,2022-01-01 21:00:00,2022-01-01 22:00:00
NO3,0.32843,0.03288,9.9888,2022-01-01 22:00:00,2022-01-01 23:00:00
NO3,0.32404,0.03244,9.9888,2022-01-01 23:00:00,2022-01-02 00:00:00
NO3,0.31994,0.03203,9.9888,2022-01-02 00:00:00,2022-01-02 01:00:00
NO3,0.31744,0.03178,9.9888,2022-01-02 01:00:00,2022-01-02 02:00:00
NO3,0.31764,0.0318,9.9888,2022-01-02 02:00:00,2022-01-02 03:00:00
NO3,0.31854,0.03189,9.9888,2022-01-02 03:00:00,2022-01-02 04:00:00
NO3,0.29527,0.02956,9.9888,2022-01-02 04:00:00,2022-01-02 05:00:00
NO3,0.31934,0.03197,9.9888,2022-01-02 05:00:00,2022-01-02 06:00:00
NO3,0.31625,0.03166,9.9888,2022-01-02 06:00:00,2022-01-02 07:00:00
NO3,0.32244,0.03228,9.9888,2022-01-02 07:00:00,2022-01-02 08:00:00
NO3,0.32893,0.03293,9.9888,2022-01-02 08:00:00,2022-01-02 09:00:00
NO3,0.36269,0.03631,9.9888,2022-01-02 09:00:00,2022-01-02 10:00:00
NO3,0.37248,0.03729,9.9888,2022-01-02 10:00:00,2022-01-02 11:00:00
NO3,0.37458,0.0375,9.9888,2022-01-02 11:00:00,2022-01-02 12:00:00
NO3,0.37448,0.03749,9.9888,2022-01-02 12:00:00,2022-01-02 13:00:00
NO3,0.37448,0.03749,9.9888,2022-01-02 13:00:00,2022-01-02 14:00:00
NO3,0.36929,0.03697,9.9888,2022-01-02 14:00:00,2022-01-02 15:00:00
NO3,0.3591,0.03595,9.9888,2022-01-02 15:00:00,2022-01-02 16:00:00
NO3,0.34991,0.03503,9.9888,2022-01-02 16:00:00,2022-01-02 17:00:00
NO3,0.33173,0.03321,9.9888,2022-01-02 17:00:00,2022-01-02 18:00:00
NO3,0.32913,0.03295,9.9888,2022-01-02 18:00:00,2022-01-02 19:00:00
NO3,0.32873,0.03291,9.9888,2022-01-02 19:00:00,2022-01-02 20:00:00
NO3,0.33213,0.03325,9.9888,2022-01-02 20:00:00,2022-01-02 21:00:00
NO3,0.38926,0.03897,9.9888,2022-01-02 22:00:00,2022-01-02 23:00:00
NO3,0.32893,0.03293,9.9888,2022-01-02 23:00:00,2022-01-03 00:00:00
NO3,0.20893,0.02089,10.0013,2022-01-03 00:00:00,2022-01-03 01:00:00
NO3,0.19923,0.01992,10.0013,2022-01-03 01:00:00,2022-01-03 02:00:00
NO3,0.19873,0.01987,10.0013,2022-01-03 02:00:00,2022-01-03 03:00:00
NO3,0.19823,0.01982,10.0013,2022-01-03 03:00:00,2022-01-03 04:00:00
NO3,0.20263,0.02026,10.0013,2022-01-03 04:00:00,2022-01-03 05:00:00
NO3,0.29354,0.02935,10.0013,2022-01-03 05:00:00,2022-01-03 06:00:00
NO3,0.34935,0.03493,10.0013,2022-01-03 06:00:00,2022-01-03 07:00:00
NO3,0.34835,0.03483,10.0013,2022-01-03 07:00:00,2022-01-03 08:00:00
NO3,0.37025,0.03702,10.0013,2022-01-03 08:00:00,2022-01-03 09:00:00
NO3,0.38765,0.03876,10.0013,2022-01-03 09:00:00,2022-01-03 10:00:00
NO3,0.38815,0.03881,10.0013,2022-01-03 10:00:00,2022-01-03 11:00:00
NO3,0.38895,0.03889,10.0013,2022-01-03 11:00:00,2022-01-03 12:00:00
NO3,0.38945,0.03894,10.0013,2022-01-03 12:00:00,2022-01-03 13:00:00
NO3,0.39925,0.03992,10.0013,2022-01-03 13:00:00,2022-01-03 14:00:00
NO3,0.39945,0.03994,10.0013,2022-01-03 14:00:00,2022-01-03 15:00:00
NO3,0.39955,0.03995,10.0013,2022-01-03 15:00:00,2022-01-03 16:00:00
NO3,0.42416,0.04241,10.0013,2022-01-03 16:00:00,2022-01-03 17:00:00
NO3,0.46386,0.04638,10.0013,2022-01-03 17:00:00,2022-01-03 18:00:00
NO3,0.45706,0.0457,10.0013,2022-01-03 18:00:00,2022-01-03 19:00:00
NO3,0.45206,0.0452,10.0013,2022-01-03 19:00:00,2022-01-03 20:00:00
NO3,0.43846,0.04384,10.0013,2022-01-03 20:00:00,2022-01-03 21:00:00
NO3,0.42576,0.04257,10.0013,2022-01-03 21:00:00,2022-01-03 22:00:00
NO3,0.39455,0.03945,10.0013,2022-01-03 22:00:00,2022-01-03 23:00:00
NO3,0.34404,0.0344,10.0013,2022-01-03 23:00:00,2022-01-04 00:00:00
NO3,0.39965,0.03991,10.0138,2022-01-04 00:00:00,2022-01-04 01:00:00
NO3,0.37091,0.03704,10.0138,2022-01-04 01:00:00,2022-01-04 02:00:00
NO3,0.35088,0.03504,10.0138,2022-01-04 02:00:00,2022-01-04 03:00:00
NO3,0.35018,0.03497,10.0138,2022-01-04 03:00:00,2022-01-04 04:00:00
NO3,0.35229,0.03518,10.0138,2022-01-04 04:00:00,2022-01-04 05:00:00
NO3,0.37141,0.03709,10.0138,2022-01-04 05:00:00,2022-01-04 06:00:00
NO3,0.37131,0.03708,10.0138,2022-01-04 06:00:00,2022-01-04 07:00:00
NO3,0.42979,0.04292,10.0138,2022-01-04 07:00:00,2022-01-04 08:00:00
NO3,0.43961,0.0439,10.0138,2022-01-04 08:00:00,2022-01-04 09:00:00
NO3,0.44712,0.04465,10.0138,2022-01-04 09:00:00,2022-01-04 10:00:00
NO3,0.45122,0.04506,10.0138,2022-01-04 10:00:00,2022-01-04 11:00:00
NO3,0.46013,0.04595,10.0138,2022-01-04 11:00:00,2022-01-04 12:00:00
NO3,0.46905,0.04684,10.0138,2022-01-04 12:00:00,2022-01-04 13:00:00
NO3,0.47065,0.047,10.0138,2022-01-04 13:00:00,2022-01-04 14:00:00
NO3,0.47495,0.04743,10.0138,2022-01-04 14:00:00,2022-01-04 15:00:00
NO3,0.47966,0.0479,10.0138,2022-01-04 15:00:00,2022-01-04 16:00:00
NO3,0.48417,0.04835,10.0138,2022-01-04 16:00:00,2022-01-04 17:00:00
NO3,0.48627,0.04856,10.0138,2022-01-04 17:00:00,2022-01-04 18:00:00
NO3,0.49018,0.04895,10.0138,2022-01-04 18:00:00,2022-01-04 19:00:00
NO3,0.49048,0.04898,10.0138,2022-01-04 19:00:00,2022-01-04 20:00:00
NO3,0.49138,0.04907,10.0138,2022-01-04 20:00:00,2022-01-04 21:00:00
NO3,0.49138,0.04907,10.0138,2022-01-04 21:00:00,2022-01-04 22:00:00
NO3,0.48727,0.04866,10.0138,2022-01-04 22:00:00,2022-01-04 23:00:00
NO3,0.48937,0.04887,10.0138,2022-01-04 23:00:00,2022-01-05 00:00:00
NO3,0.54122,0.0543,9.9672,2022-01-05 00:00:00,2022-01-05 01:00:00
NO3,0.5152,0.05169,9.9672,2022-01-05 01:00:00,2022-01-05 02:00:00
NO3,0.49876,0.05004,9.9672,2022-01-05 02:00:00,2022-01-05 03:00:00
NO3,0.49368,0.04953,9.9672,2022-01-05 03:00:00,2022-01-05 04:00:00
NO3,0.49826,0.04999,9.9672,2022-01-05 04:00:00,2022-01-05 05:00:00
NO3,0.49876,0.05004,9.9672,2022-01-05 05:00:00,2022-01-05 06:00:00
NO3,0.63033,0.06324,9.9672,2022-01-05 06:00:00,2022-01-05 07:00:00
NO3,0.6983,0.07006,9.9672,2022-01-05 07:00:00,2022-01-05 08:00:00
NO3,0.65784,0.066,9.9672,2022-01-05 08:00:00,2022-01-05 09:00:00
NO3,0.56873,0.05706,9.9672,2022-01-05 09:00:00,2022-01-05 10:00:00
NO3,0.52577,0.05275,9.9672,2022-01-05 10:00:00,2022-01-05 11:00:00
NO3,0.52736,0.05291,9.9672,2022-01-05 11:00:00,2022-01-05 12:00:00
NO3,0.49756,0.04992,9.9672,2022-01-05 12:00:00,2022-01-05 13:00:00
NO3,0.49696,0.04986,9.9672,2022-01-05 13:00:00,2022-01-05 14:00:00
NO3,0.49547,0.04971,9.9672,2022-01-05 14:00:00,2022-01-05 15:00:00
NO3,0.49417,0.04958,9.9672,2022-01-05 15:00:00,2022-01-05 16:00:00
NO3,0.4877,0.04893,9.9672,2022-01-05 16:00:00,2022-01-05 17:00:00
NO3,0.48102,0.04826,9.9672,2022-01-05 17:00:00,2022-01-05 18:00:00
NO3,0.47793,0.04795,9.9672,2022-01-05 18:00:00,2022-01-05 19:00:00
NO3,0.46955,0.04711,9.9672,2022-01-05 19:00:00,2022-01-05 20:00:00
NO3,0.46138,0.04629,9.9672,2022-01-05 20:00:00,2022-01-05 21:00:00
